,title,description
37,deep learning,Deep Learning is an artificial neural network composed of many layers.
38,dependency management,Secure and manage your third-party dependencies.
39,deployment,Streamline your code deployment so you can focus on your product.
40,django,Django is a web application framework for Python.
41,docker,Docker is a platform built for developers to build and run applications.
42,documentation,Documentation is a set of information that describes a product to its users.
43,.net,".NET is a free, cross-platform, open source developer platform."
44,electron,Electron is a framework for building cross-platform desktop applications with web technology.
45,elixir,"Elixir is a dynamic, functional language designed for building scalable and maintainable applications."
46,emacs,"Emacs is an extensible, customizable, free text editor and computing environment."
47,ember,Ember is a framework for creating web applications.
48,emoji,"Emojis are graphic symbols that represent an emotion, object, or concept."
49,emulator,An emulator is any hardware or software that allows one computer to behave like another.
50,eslint,The pluggable linting utility for JavaScript and JSX.
51,ethereum,Ethereum is a distributed public blockchain network.
52,express,Express is a minimal Node.js framework for web and mobile applications.
53,firebase,Firebase is a mobile app development platform that provides data analysis and database web services for developers.
54,firefox,Firefox is an open source web browser from Mozilla.
55,flask,Flask is a web framework for Python based on the Werkzeug toolkit.
56,font,A font is a particular style of typeface for text.
57,framework,A framework is a reusable set of libraries or classes in software.
58,front end,Front end is the programming and layout that people see and interact with.
59,game engine,A game engine is a software framework used to develop and create video games.
60,git,Git is the most widely used version control system.
61,github api,The GitHub API allows you to build applications that integrate with GitHub.
62,go,Go is a programming language built to resemble a simplified version of the C programming language.
63,google,Google LLC is an American multinational technology company that specializes in Internet-related services and products.
64,gradle,"Gradle is an open-source build tool that helps teams build, automate and deliver better software, faster."
65,graphql,GraphQL is a query language for APIs and a runtime for fulfilling those queries with your existing data.
66,gulp,Gulp is a toolkit for automating and streamlining web development.
67,hacktoberfest,Hacktoberfest is a month-long celebration of open source software.
68,haskell,"Haskell is a functional programming language with non-strict semantics, and strong static typing."
69,homebrew,Homebrew is a package manager for macOS.
70,homebridge,"Homebridge is a utility for tying smart home devices together into Apple’s HomeKit framework, controlled by Siri."
71,html,HTML is the fundamental markup language for webpages.
72,http,HTTP (Hypertext Transfer Protocol) is the standard for communication across the web.
73,icon font,Icon fonts contain glyphs and symbols in place of textual letters.
74,ios,iOS is the operating system for Apple's mobile products.
75,ipfs,IPFS is a peer-to-peer protocol for content-addressed sharing of data via a distributed file system.
76,java,"Java is an object-oriented programming language used mainly for web, desktop, embedded devices and mobile applications."
77,javascript,JavaScript (JS) is a lightweight interpreted programming language with first-class functions.
78,jekyll,"Jekyll is a simple, blog-aware static site generator."
79,jquery,jQuery is a lightweight library that simplifies programming with JavaScript.
80,json,"JSON (JavaScript Object Notation) allows for easy interchange of data, often between a program and a database."
81,the julia language,"Julia is a high-level, high-performance dynamic programming language for numerical computing."
82,jupyter notebook,"Jupyter Notebooks are documents that contain live code, visualizations, and narrative text."
83,koa,Koa is an expressive middleware framework for Node.js servers that uses ES2017 async functions.
84,kotlin,Kotlin is a statically typed programming language for multiplatform applications.
85,kubernetes,"Kubernetes is an open source system for automating deployment, scaling, and management of containerized applications."
86,laravel,The PHP Framework for Web Artisans.
87,latex,LaTeX is a document preparation system.
88,library,"A library is a collection of resources, often created to make programming a task simpler."
89,linux,Linux is an open source kernel.
90,localization,Translation of a software interface and messages to another language plus to work with local cultures.
91,lua,"Lua is a lightweight, embeddable scripting language."
92,machine learning,Machine learning is a way of modeling and interpreting data that allows a piece of software to respond intelligently.
93,macos,macOS is Apple's operating system.
94,markdown,Markdown is a lightweight markup language.
95,mastodon,"Mastodon is a free, decentralized, open-source microblogging network."
96,material design,Material design is a unified system of theory and tools for creating digital experiences developed by Google.
97,matlab,MATLAB is a programming platform for numerical computation and visualization.
98,maven,Maven is a build automation tool used primarily for Java projects.
99,minecraft,Minecraft is a sandbox video game.
100,mobile,"Mobile apps, mobile OS, mobile databases, & mobile testing frameworks."
101,monero,"Monero is a private, fungible, open source, decentralized cryptocurrency."
102,mongodb,MongoDB is an open source NoSQL document-oriented database.
103,mongoose,Mongoose is a MongoDB object modeling tool designed to work in an asynchronous environment.
104,monitoring,"Monitor the impact of your code changes. Measure performance, track errors, and analyze your application."
105,mvvmcross,"The .NET MVVM framework for cross-platform solutions, including Xamarin.iOS, Xamarin.Android, Windows, and Mac."
106,mysql,MySQL is an open source relational database management system.
107,nativescript,NativeScript is a JavaScript-native mobile framework.
108,nim,"Nim is a statically typed, compiled, garbage-collected systems programming language."
109,natural language processing,Natural language processing (NLP) is the study of how computers and humans interact.
110,node.js,Node.js is a tool for executing JavaScript in a variety of environments.
111,nosql,A NoSQL database refers to a database whose storage format is modeled differently from relational databases.
112,npm,npm is a package manager for JavaScript included with Node.js.
113,objective-c,"Objective-C is general purpose, object-oriented programming language used for macOS and iOS operating systems."
114,opengl,OpenGL is a software interface that allows a programmer to communicate with graphics hardware.
115,operating system,An operating system is a program that manages a computer's programs and applications.
116,p2p,Peer-to-Peer applications are decentralized or distributed.
117,package manager,A package manager is a set of tools that automates and manages computer software.
118,parsing,Parsing is the process of analyzing a string of symbols conforming to the rules of a formal grammar.
119,perl,Perl is a highly capable and feature-rich programming language.
120,phaser,"Phaser is a fun, free, and fast 2D game framework for making HTML5 games for desktop and mobile web browsers."
121,php,PHP is a popular general-purpose scripting language that works particularly well for server-side web development.
122,pico-8,"PICO-8 is a fantasy console for making, sharing and playing tiny games and other computer programs in Lua."
123,pixel art,Pixel art is a form of digital art where images are created and edited at the pixel level.
124,postgresql,PostgreSQL is an open source database system.
125,project management,Project management is about building scope and executing on the project's goals.
126,publishing,Publishing is the dissemination of making information available to the general public through various mediums.
127,pwa,Progressive Web Apps are traditional web sites that are enhanced with native like features.
128,python,Python is a dynamically typed programming language.
129,qt,"Qt, pronounced ""cute"", is a cross-platform application development framework."
130,r,R is a free programming language and software environment for statistical computing and graphics.
131,rails,Ruby on Rails (Rails) is a web application framework written in Ruby.
132,raspberry pi,The Raspberry Pi is a popular single-board computer.
133,ratchet,Ratchet is a set of libraries to handle WebSockets asynchronously in PHP.
134,react,React is an open source JavaScript library used for designing user interfaces.
135,react native,React Native is a JavaScript mobile framework developed by Facebook.
136,reactiveui,"ReactiveUI is a composable, cross-platform model-view-viewmodel framework for all .NET platforms."
137,redux,Redux is a predictable state container for JavaScript apps.
138,rest api,A representational state transfer (REST) API is a way to provide compatibility between computer systems on the internet.
139,ruby,Ruby is a scripting language designed for simplified object-oriented programming.
140,rust,Rust is a systems programming language created by Mozilla.
141,sass,Sass is a stable extension to classic CSS.
142,scala,Scala is an object-oriented programming language.
143,scikit-learn,scikit-learn is a Python module for machine learning.
144,software-defined networking,"Software-defined networking (SDN) is an architecture for programmable, centrally managed networks."
145,security,"Cybersecurity is the protection of computer hardware, software, and data from theft, damage, and malicious intent."
146,server,A server is a program made to process requests and deliver data to clients.
147,serverless,Serverless architecture refers to apps that depend on third-party services or custom code.
148,shell,"A shell is a command-line tool, designed to be run by the Unix shell."
149,sketch,"Sketch is a vector graphics editor for Apple's macOS, used primarily for user interface and icon design."
150,spacevim,SpaceVim is a community-driven distribution of the vim editor that allows managing your plugins in layers.
151,spring boot,Spring Boot is a coding and configuration model for Java applications.
152,sql,"SQL is a standard language for storing, retrieving and manipulating data in databases."
153,storybook,Storybook is a UI development environment for your UI components.
154,support,Get your team and customers the help they need.
155,swift,"Swift is a modern programming language focused on safety, performance, and expressivity."
156,symfony,Symfony is a set of reusable PHP components and a web framework.
157,telegram,"Telegram is a non-profit, cloud-based instant messaging service."
158,tensorflow,TensorFlow is an open source software library for numerical computation.
159,terminal,The terminal is an interface in which you can type and execute text-based commands.
160,terraform,"An infrastructure-as-code tool for building, changing, and versioning infrastructure safely and efficiently."
161,testing,Eliminate bugs and ship with more confidence by adding these tools to your workflow.
162,twitter,"Twitter is an online news and social networking service where users post and interact with messages, known as “Tweets”."
163,typescript,TypeScript is a typed superset of JavaScript that compiles to plain JavaScript.
164,ubuntu,Ubuntu is a Linux-based operating system.
165,unity,"Unity is a game engine used to create 2D/3D video games, and simulations for computers, consoles, and mobile devices."
166,unreal engine,"Unreal Engine is used to create awesome games, and experiences for PC, mobile, console, VR, and AR."
167,vagrant,Vagrant is an open-source software product for building and maintaining portable virtual software development environments.
168,vim,Vim is a console-run text editor program.
169,virtual reality,Virtual reality is an artificial environment displayed through digital means.
170,vue.js,Vue.js is a JavaScript framework for building interactive web applications.
171,wagtail,Wagtail is an open source CMS written in Python and built on the Django web framework.
172,web components,Web Components are a set of web platform APIs developers can use to create custom HTML tags.
173,web app,A web application is any computer program that performs a specific function by using a web browser as its client.
174,webpack,Webpack is a bundler that takes modules with dependencies and creates static assets.
175,windows,Windows is Microsoft's GUI-based operating system.
176,wordplate,WordPlate is a modern WordPress stack which simplifies WordPress development.
177,wordpress,"WordPress is a popular content management system, used for websites and blogs."
178,xamarin,Xamarin is a platform for developing iOS and Android applications.
179,xml,XML is subset of SGML (Standard Generalized Markup Language) used to store and transport data.
